Y,X,id,left,top,right,bottom
54.1661088882874,37.5005896912565,"74",4174546.54887816,7201678.30684554,4175546.54887816,7202678.30684554
54.1608494810631,37.5005896912565,"75",4174546.54887816,7200678.30684554,4175546.54887816,7201678.30684554
54.2029060238435,37.5095728440977,"114",4175546.54887816,7208678.30684554,4176546.54887816,7209678.30684554
54.1923958981014,37.5095728440977,"116",4175546.54887816,7206678.30684554,4176546.54887816,7207678.30684554
54.1976512950877,37.5185559969389,"162",4176546.54887816,7207678.30684554,4177546.54887816,7208678.30684554
54.1923958981014,37.5185559969389,"163",4176546.54887816,7206678.30684554,4177546.54887816,7207678.30684554
54.1818830992745,37.5185559969389,"165",4176546.54887816,7204678.30684554,4177546.54887816,7205678.30684554
54.1661088882874,37.5185559969389,"168",4176546.54887816,7201678.30684554,4177546.54887816,7202678.30684554
54.1292789974731,37.5185559969389,"175",4176546.54887816,7194678.30684554,4177546.54887816,7195678.30684554
54.1976512950877,37.5275391497801,"209",4177546.54887816,7207678.30684554,4178546.54887816,7208678.30684554
54.1923958981014,37.5275391497801,"210",4177546.54887816,7206678.30684554,4178546.54887816,7207678.30684554
54.1818830992745,37.5275391497801,"212",4177546.54887816,7204678.30684554,4178546.54887816,7205678.30684554
54.1766256973524,37.5275391497801,"213",4177546.54887816,7203678.30684554,4178546.54887816,7204678.30684554
54.1713676270369,37.5275391497801,"214",4177546.54887816,7202678.30684554,4178546.54887816,7203678.30684554
54.1661088882874,37.5275391497801,"215",4177546.54887816,7201678.30684554,4178546.54887816,7202678.30684554
54.1345424163988,37.5275391497801,"221",4177546.54887816,7195678.30684554,4178546.54887816,7196678.30684554
54.1240149097885,37.5275391497801,"223",4177546.54887816,7193678.30684554,4178546.54887816,7194678.30684554
54.1134847279804,37.5275391497801,"225",4177546.54887816,7191678.30684554,4178546.54887816,7192678.30684554
54.1044383551374,37.5258928838633,"226",4177546.54887816,7190678.30684554,4178546.54887816,7191678.30684554
54.1029518706505,37.5275391497801,"227",4177546.54887816,7189678.30684554,4178546.54887816,7190678.30684554
54.1025110513092,37.52410942912,"228",4177546.54887816,7188678.30684554,4178546.54887816,7189678.30684554
54.213413476827,37.5365223026213,"253",4178546.54887816,7210678.30684554,4179546.54887816,7211678.30684554
54.2029060238435,37.5365223026213,"255",4178546.54887816,7208678.30684554,4179546.54887816,7209678.30684554
54.1976512950877,37.5365223026213,"256",4178546.54887816,7207678.30684554,4179546.54887816,7208678.30684554
54.1923958981014,37.5365223026213,"257",4178546.54887816,7206678.30684554,4179546.54887816,7207678.30684554
54.1871398328439,37.5365223026213,"258",4178546.54887816,7205678.30684554,4179546.54887816,7206678.30684554
54.1818830992745,37.5365223026213,"259",4178546.54887816,7204678.30684554,4179546.54887816,7205678.30684554
54.1766256973524,37.5365223026213,"260",4178546.54887816,7203678.30684554,4179546.54887816,7204678.30684554
54.1713676270369,37.5365223026213,"261",4178546.54887816,7202678.30684554,4179546.54887816,7203678.30684554
54.1661088882874,37.5365223026213,"262",4178546.54887816,7201678.30684554,4179546.54887816,7202678.30684554
54.1398051666061,37.5365223026213,"267",4178546.54887816,7196678.30684554,4179546.54887816,7197678.30684554
54.1345424163988,37.5365223026213,"268",4178546.54887816,7195678.30684554,4179546.54887816,7196678.30684554
54.1292789974731,37.5365223026213,"269",4178546.54887816,7194678.30684554,4179546.54887816,7195678.30684554
54.1240149097885,37.5365223026213,"270",4178546.54887816,7193678.30684554,4179546.54887816,7194678.30684554
54.1187501533044,37.5365223026213,"271",4178546.54887816,7192678.30684554,4179546.54887816,7193678.30684554
54.2186662011362,37.5455054554625,"299",4179546.54887816,7211678.30684554,4180546.54887816,7212678.30684554
54.213413476827,37.5455054554625,"300",4179546.54887816,7210678.30684554,4180546.54887816,7211678.30684554
54.2081600844097,37.5455054554625,"301",4179546.54887816,7209678.30684554,4180546.54887816,7210678.30684554
54.2029060238435,37.5455054554625,"302",4179546.54887816,7208678.30684554,4180546.54887816,7209678.30684554
54.1976512950877,37.5455054554625,"303",4179546.54887816,7207678.30684554,4180546.54887816,7208678.30684554
54.1923958981014,37.5455054554625,"304",4179546.54887816,7206678.30684554,4180546.54887816,7207678.30684554
54.1871398328439,37.5455054554625,"305",4179546.54887816,7205678.30684554,4180546.54887816,7206678.30684554
54.1818830992745,37.5455054554625,"306",4179546.54887816,7204678.30684554,4180546.54887816,7205678.30684554
54.1766256973524,37.5455054554625,"307",4179546.54887816,7203678.30684554,4180546.54887816,7204678.30684554
54.1713676270369,37.5455054554625,"308",4179546.54887816,7202678.30684554,4180546.54887816,7203678.30684554
54.1555894053235,37.5455054554625,"311",4179546.54887816,7199678.30684554,4180546.54887816,7200678.30684554
54.1398051666061,37.5455054554625,"314",4179546.54887816,7196678.30684554,4180546.54887816,7197678.30684554
54.1345424163988,37.5455054554625,"315",4179546.54887816,7195678.30684554,4180546.54887816,7196678.30684554
54.1292789974731,37.5455054554625,"316",4179546.54887816,7194678.30684554,4180546.54887816,7195678.30684554
54.1240149097885,37.5455054554625,"317",4179546.54887816,7193678.30684554,4180546.54887816,7194678.30684554
54.1187501533044,37.5455054554625,"318",4179546.54887816,7192678.30684554,4180546.54887816,7193678.30684554
54.1134847279804,37.5455054554625,"319",4179546.54887816,7191678.30684554,4180546.54887816,7192678.30684554
54.0836067951805,37.5486607984698,"324",4179546.54887816,7186678.30684554,4180546.54887816,7187678.30684554
54.0818781281303,37.5455054554625,"325",4179546.54887816,7185678.30684554,4180546.54887816,7186678.30684554
