Y,X,id,left,top,right,bottom
56.8328618124527,35.7328398782645,"91",3977761.53984598,7726033.52732973,3978761.53984598,7727033.52732973
56.8279469578568,35.7328398782645,"92",3977761.53984598,7725033.52732973,3978761.53984598,7726033.52732973
56.8230314582204,35.7328398782645,"93",3977761.53984598,7724033.52732973,3978761.53984598,7725033.52732973
56.8377760220565,35.7418230311057,"124",3978761.53984598,7727033.52732973,3979761.53984598,7728033.52732973
56.8328618124527,35.7418230311057,"125",3978761.53984598,7726033.52732973,3979761.53984598,7727033.52732973
56.8279469578568,35.7418230311057,"126",3978761.53984598,7725033.52732973,3979761.53984598,7726033.52732973
56.8230314582204,35.7418230311057,"127",3978761.53984598,7724033.52732973,3979761.53984598,7725033.52732973
56.8181153134949,35.7418230311057,"128",3978761.53984598,7723033.52732973,3979761.53984598,7724033.52732973
56.8426895867167,35.7508061839469,"157",3979761.53984598,7728033.52732973,3980761.53984598,7729033.52732973
56.8377760220565,35.7508061839469,"158",3979761.53984598,7727033.52732973,3980761.53984598,7728033.52732973
56.8328618124527,35.7508061839469,"159",3979761.53984598,7726033.52732973,3980761.53984598,7727033.52732973
56.8279469578568,35.7508061839469,"160",3979761.53984598,7725033.52732973,3980761.53984598,7726033.52732973
56.8230314582204,35.7508061839469,"161",3979761.53984598,7724033.52732973,3980761.53984598,7725033.52732973
56.8181153134949,35.7508061839469,"162",3979761.53984598,7723033.52732973,3980761.53984598,7724033.52732973
56.8426895867167,35.7597893367881,"191",3980761.53984598,7728033.52732973,3981761.53984598,7729033.52732973
56.8377760220565,35.7597893367881,"192",3980761.53984598,7727033.52732973,3981761.53984598,7728033.52732973
56.8328618124527,35.7597893367881,"193",3980761.53984598,7726033.52732973,3981761.53984598,7727033.52732973
56.8279469578568,35.7597893367881,"194",3980761.53984598,7725033.52732973,3981761.53984598,7726033.52732973
56.8230314582204,35.7597893367881,"195",3980761.53984598,7724033.52732973,3981761.53984598,7725033.52732973
56.8181153134949,35.7597893367881,"196",3980761.53984598,7723033.52732973,3981761.53984598,7724033.52732973
56.8525147814005,35.7687724896293,"223",3981761.53984598,7730033.52732973,3982761.53984598,7731033.52732973
56.8476025064819,35.7687724896293,"224",3981761.53984598,7729033.52732973,3982761.53984598,7730033.52732973
56.8426895867167,35.7687724896293,"225",3981761.53984598,7728033.52732973,3982761.53984598,7729033.52732973
56.8377760220565,35.7687724896293,"226",3981761.53984598,7727033.52732973,3982761.53984598,7728033.52732973
56.8328618124527,35.7687724896293,"227",3981761.53984598,7726033.52732973,3982761.53984598,7727033.52732973
56.8279469578568,35.7687724896293,"228",3981761.53984598,7725033.52732973,3982761.53984598,7726033.52732973
56.8230314582204,35.7687724896293,"229",3981761.53984598,7724033.52732973,3982761.53984598,7725033.52732973
56.8525147814005,35.7777556424705,"257",3982761.53984598,7730033.52732973,3983761.53984598,7731033.52732973
56.8476025064819,35.7777556424705,"258",3982761.53984598,7729033.52732973,3983761.53984598,7730033.52732973
56.8426895867167,35.7777556424705,"259",3982761.53984598,7728033.52732973,3983761.53984598,7729033.52732973
56.8377760220565,35.7777556424705,"260",3982761.53984598,7727033.52732973,3983761.53984598,7728033.52732973
56.8328618124527,35.7777556424705,"261",3982761.53984598,7726033.52732973,3983761.53984598,7727033.52732973
56.8279469578568,35.7777556424705,"262",3982761.53984598,7725033.52732973,3983761.53984598,7726033.52732973
56.8966962455864,35.7867387953116,"282",3983761.53984598,7739033.52732973,3984761.53984598,7740033.52732973
56.891789772101,35.7867387953116,"283",3983761.53984598,7738033.52732973,3984761.53984598,7739033.52732973
56.8525147814005,35.7867387953116,"291",3983761.53984598,7730033.52732973,3984761.53984598,7731033.52732973
56.8476025064819,35.7867387953116,"292",3983761.53984598,7729033.52732973,3984761.53984598,7730033.52732973
56.8426895867167,35.7867387953116,"293",3983761.53984598,7728033.52732973,3984761.53984598,7729033.52732973
56.8377760220565,35.7867387953116,"294",3983761.53984598,7727033.52732973,3984761.53984598,7728033.52732973
56.8328618124527,35.7867387953116,"295",3983761.53984598,7726033.52732973,3984761.53984598,7727033.52732973
56.8279469578568,35.7867387953116,"296",3983761.53984598,7725033.52732973,3984761.53984598,7726033.52732973
56.891789772101,35.7957219481528,"317",3984761.53984598,7738033.52732973,3985761.53984598,7739033.52732973
56.8868826542063,35.7957219481528,"318",3984761.53984598,7737033.52732973,3985761.53984598,7738033.52732973
56.8623373968923,35.7957219481528,"323",3984761.53984598,7732033.52732973,3985761.53984598,7733033.52732973
56.8574264115211,35.7957219481528,"324",3984761.53984598,7731033.52732973,3985761.53984598,7732033.52732973
56.8525147814005,35.7957219481528,"325",3984761.53984598,7730033.52732973,3985761.53984598,7731033.52732973
56.8476025064819,35.7957219481528,"326",3984761.53984598,7729033.52732973,3985761.53984598,7730033.52732973
56.8426895867167,35.7957219481528,"327",3984761.53984598,7728033.52732973,3985761.53984598,7729033.52732973
56.8377760220565,35.7957219481528,"328",3984761.53984598,7727033.52732973,3985761.53984598,7728033.52732973
56.8328618124527,35.7957219481528,"329",3984761.53984598,7726033.52732973,3985761.53984598,7727033.52732973
56.8279469578568,35.7957219481528,"330",3984761.53984598,7725033.52732973,3985761.53984598,7726033.52732973
56.9016020747111,35.804705100994,"349",3985761.53984598,7740033.52732973,3986761.53984598,7741033.52732973
56.8966962455864,35.804705100994,"350",3985761.53984598,7739033.52732973,3986761.53984598,7740033.52732973
56.891789772101,35.804705100994,"351",3985761.53984598,7738033.52732973,3986761.53984598,7739033.52732973
