,tula,tver
4E5D36,,1.0
5B4B38,,1.0
4E5931,,1.0
3A3A2B,,1.0
4F5D24,,1.0
767B41,,1.0
5B4F27,,1.0
51627A,,1.0
4E593A,,1.0
5B5030,,1.0
846047,,1.0
515B30,,1.0
3F475C,,1.0
776E41,,1.0
4D5D34,,1.0
4E5C31,,1.0
3D708E,,1.0
603B3F,,1.0
445A87,,1.0
4B5C3A,,1.0
836748,,1.0
59513E,,1.0
807B46,,1.0
3A3C2B,,1.0
7E7749,,1.0
4D607E,,1.0
697143,,1.0
4E5938,,1.0
505B25,,1.0
365276,,1.0
3A4024,,1.0
696941,,1.0
5F4E3B,,1.0
18366C,,1.0
2F4765,,1.0
636848,,1.0
645D47,,1.0
5C4033,,1.0
595143,,1.0
4B5E31,,1.0
5B4F40,,1.0
505B40,,1.0
495F82,,1.0
3B3622,,1.0
4E5B3E,,1.0
747340,,1.0
556476,,1.0
9F352C,,1.0
836648,,1.0
4C5931,,1.0
363827,,1.0
446D87,,1.0
3B3E29,,1.0
666845,,1.0
4D5D35,,1.0
535720,,1.0
6D6E43,,1.0
395159,,1.0
4C5A34,,1.0
716B38,,1.0
505928,,1.0
774741,,1.0
5B4134,,1.0
5B512B,,1.0
4E637C,,1.0
4D5F36,,1.0
646844,,1.0
3C4C5E,,1.0
606747,,1.0
855B46,,1.0
4A6181,,1.0
774B41,,1.0
505836,,1.0
526579,,1.0
466766,,1.0
4B5F33,,1.0
686B3D,,1.0
2A4066,,1.0
7D7944,,1.0
7C7447,,1.0
7D694E,,1.0
663B41,,1.0
4E5F2C,,1.0
766D55,,1.0
69733E,,1.0
4F5F33,,1.0
4E5C25,,1.0
505C3C,,1.0
5E683C,,1.0
6B6944,,1.0
3F402C,,1.0
4C687F,,1.0
7B6850,,1.0
505B2F,,1.0
