,tula,tver
5E4D30,1.0,
614840,1.0,
654E3A,1.0,
466385,1.0,
373927,1.0,
644535,1.0,
6F743A,1.0,
614E41,1.0,
4D5B34,1.0,2.0
5B5038,1.0,
373B1D,1.0,
959B30,1.0,
5D4934,1.0,
505B33,1.0,3.0
4D687E,1.0,
536878,1.0,
6A6B3E,1.0,
634F40,1.0,
505B30,1.0,3.0
4F593E,1.0,2.0
7D6D4E,1.0,
4A5934,1.0,
4B5E32,1.0,
614C3D,1.0,
7C7C4F,1.0,
546678,1.0,
6E343B,1.0,
946F37,1.0,
866F45,1.0,
5F4838,1.0,
4D5B41,1.0,
4E5A34,1.0,3.0
3E3821,1.0,
5B4F44,1.0,
313620,1.0,
594F3C,1.0,1.0
4E657D,1.0,
50593D,1.0,3.0
6B683E,1.0,
5F3738,1.0,
32341E,1.0,
515928,1.0,
595130,1.0,1.0
846D47,1.0,
664930,1.0,
7C794F,1.0,
594E3C,1.0,2.0
2B3F5E,1.0,
3A3F26,1.0,
63463A,1.0,
604C33,1.0,
4E5942,1.0,
766E4A,1.0,
4E5C3B,1.0,
8F693C,1.0,
72713C,1.0,
405938,1.0,
4D5C30,1.0,
6B7040,1.0,
51573A,1.0,4.0
334E5F,1.0,
505E36,1.0,
676B3E,1.0,
526879,1.0,
526379,1.0,
796C43,1.0,
836B48,1.0,
726559,1.0,
664C38,1.0,
81724A,1.0,
3A3C1D,1.0,
656940,1.0,
51583A,1.0,1.0
676945,1.0,
4D5C34,1.0,
AC1F20,1.0,
707040,1.0,
5C4F30,1.0,
5D4439,1.0,
204B78,1.0,
595138,1.0,
61614B,1.0,
5E4E39,1.0,
4A6481,1.0,
51593C,1.0,
254068,1.0,
716B42,1.0,
4D5C2B,1.0,
5E4231,1.0,
624238,1.0,
5F594E,1.0,
676943,1.0,
4B6880,1.0,
30361D,1.0,
58512F,1.0,1.0
856346,1.0,
585123,1.0,
5B5040,1.0,
343C28,1.0,
6E6B45,1.0,
5D4B32,1.0,
643F32,1.0,
5F4737,1.0,
866745,1.0,
51593F,1.0,2.0
706C3C,1.0,
515824,1.0,
68693E,1.0,
593028,1.0,
3E4865,1.0,
34381B,1.0,
1A315C,1.0,
736149,1.0,
714130,1.0,
73773A,1.0,
71733C,1.0,
5F3C30,1.0,
704B3E,1.0,
2470A7,1.0,
475920,1.0,
363A1E,1.0,
70693F,1.0,
2E3622,1.0,
6C6C3F,1.0,
886743,1.0,
6B6F3D,1.0,
36465E,1.0,
63483E,1.0,
6D4833,1.0,
6B6A3E,1.0,
7D664E,1.0,
656048,1.0,
333823,1.0,
976B34,1.0,
636A45,1.0,
704732,1.0,
733034,1.0,
4D5A27,1.0,
867545,1.0,
30381C,1.0,
636941,1.0,
665C4C,1.0,
614837,1.0,
4E5A2E,1.0,1.0
836F48,1.0,
856F46,1.0,
74723B,1.0,
5B372F,1.0,
4E5928,1.0,
796052,1.0,
5B5137,1.0,
8B5D40,1.0,
604634,1.0,
73683D,1.0,
5D4D33,1.0,
2869A3,1.0,
603C36,1.0,
594938,1.0,
684938,1.0,
634B3A,1.0,
50593B,1.0,
4D5B3A,1.0,
375F5C,1.0,
68703E,1.0,
4F592C,1.0,3.0
673D33,1.0,
604B39,1.0,
393926,1.0,
434122,1.0,
4E5B35,1.0,4.0
434420,1.0,
806A4C,1.0,
5E4F40,1.0,
7D6C4E,1.0,
4F5840,1.0,1.0
716A42,1.0,
7F6B4D,1.0,
676743,1.0,
525738,1.0,
4C5E3F,1.0,
666843,1.0,
886C44,1.0,
807647,1.0,
6E6C4C,1.0,
614B2D,1.0,
354163,1.0,
734733,1.0,
614D3E,1.0,
283021,1.0,
333523,1.0,
676146,1.0,
50592B,1.0,3.0
604C3C,1.0,
916C3A,1.0,
4F5C33,1.0,1.0
79493A,1.0,
373926,1.0,
33445D,1.0,
5B4F3C,1.0,1.0
363824,1.0,
38402E,1.0,
6E6741,1.0,
4F6375,1.0,
526779,1.0,
5C493C,1.0,
5E4B3B,1.0,
3C4C64,1.0,
5F4C2B,1.0,
6B6D40,1.0,
427389,1.0,
4D593E,1.0,
7E7448,1.0,
4C5F32,1.0,
446587,1.0,1.0
6A6648,1.0,
2E331E,1.0,
696841,1.0,
614938,1.0,
4E5937,1.0,
5E4D3E,1.0,
4F5944,1.0,
51607A,1.0,
4E5E2B,1.0,
614F41,1.0,
6B4C3D,1.0,
6D6E47,1.0,
776854,1.0,
505A2E,1.0,2.0
604232,1.0,
5B4F38,1.0,
5F3F30,1.0,
644937,1.0,
716844,1.0,
30415C,1.0,
4E5B3A,1.0,
5F4C2F,1.0,
64463B,1.0,
4D677E,1.0,
5C4E46,1.0,
6D6C3A,1.0,
804C37,1.0,
344F61,1.0,
623C2D,1.0,
6B733F,1.0,
4F637C,1.0,1.0
5E4D38,1.0,
4C5C3B,1.0,
594F37,1.0,
70733D,1.0,
7F714C,1.0,
4F5D30,1.0,1.0
5F4E40,1.0,
546677,1.0,1.0
2F3424,1.0,
7F654C,1.0,
4E5B36,1.0,1.0
323723,1.0,
876944,1.0,
254C76,1.0,
495E6C,1.0,
5F6147,1.0,
515B3A,1.0,
7D5A4E,1.0,
647047,1.0,
515826,1.0,
30381D,1.0,
37425F,1.0,
323426,1.0,
343B27,1.0,1.0
5F4C3C,1.0,
4E5C3A,1.0,1.0
515B34,1.0,1.0
53563A,1.0,
684634,1.0,
604E38,1.0,
5D4E2C,1.0,
7D5C4E,1.0,
4F5C3C,1.0,
456475,1.0,
7F794C,1.0,1.0
6F6E3E,1.0,
604E3B,1.0,
6B6D41,1.0,
6E713A,1.0,
634C3C,1.0,
51593D,1.0,2.0
4A6281,1.0,
938838,1.0,
546377,1.0,
603D32,1.0,
7F674C,1.0,1.0
656B43,1.0,
34381C,1.0,
7F644C,1.0,
3A3C22,1.0,
34381E,1.0,
604736,1.0,
676547,1.0,
413F2C,1.0,
5E4B3E,1.0,
4F5C31,1.0,2.0
4B5C30,1.0,
50667B,1.0,2.0
9C2F3B,1.0,
4B6780,1.0,1.0
515946,1.0,
6C693A,1.0,
6D673F,1.0,
6B3239,1.0,
9B7430,1.0,
535636,1.0,
43677A,1.0,
5A4C34,1.0,
80644B,1.0,
485B84,1.0,
38342B,1.0,
3A5F91,1.0,
5F4B39,1.0,
60493B,1.0,
926D39,1.0,
444422,1.0,
697043,1.0,1.0
877244,1.0,
6C7343,1.0,1.0
4F5939,1.0,1.0
323223,1.0,
525936,1.0,
505931,1.0,2.0
604C39,1.0,
4C5D34,1.0,
876044,1.0,
2E3224,1.0,
5A4F35,1.0,
63493B,1.0,
2F3622,1.0,
6D6B43,1.0,
464E59,1.0,
703737,1.0,
656943,1.0,
333C25,1.0,1.0
4F5C2F,1.0,2.0
6E6744,1.0,
4F593A,1.0,
5E4C25,1.0,
5B5046,1.0,
343B20,1.0,
7D654E,1.0,
67663C,1.0,
616A46,1.0,
4C5F27,1.0,
515924,1.0,3.0
7D714E,1.0,
4D667E,1.0,1.0
405E8B,1.0,
5D4E34,1.0,
546477,1.0,1.0
353E28,1.0,
887143,1.0,
6C4632,1.0,
4E5C3C,1.0,
826A49,1.0,1.0
816F4A,1.0,
4D583B,1.0,
574F41,1.0,
4B6380,1.0,
585134,1.0,
8D5F3E,1.0,
827449,1.0,
263A5C,1.0,
343B25,1.0,
5B4B45,1.0,
343E24,1.0,
4E627D,1.0,
676147,1.0,
71713E,1.0,
5D4D34,1.0,
4C6036,1.0,
383E26,1.0,
664B37,1.0,
344559,1.0,
6B7631,1.0,
595039,1.0,
333C2C,1.0,
6B6B40,1.0,
6E3C44,1.0,
416971,1.0,
7F7B4C,1.0,
515834,1.0,1.0
343822,1.0,
616148,1.0,
4F5D2B,1.0,
594B41,1.0,
323823,1.0,1.0
3B3A22,1.0,
5F4D30,1.0,
944537,1.0,
5B383C,1.0,
2F3023,1.0,
526479,1.0,
7A6F51,1.0,
7C5B4F,1.0,
626546,1.0,
4D582B,1.0,
536378,1.0,
8F503C,1.0,
4E5B3D,1.0,1.0
4C5E28,1.0,
2C3020,1.0,
654E43,1.0,
505F7B,1.0,
595133,1.0,2.0
662C2C,1.0,
7C624F,1.0,
4D5C36,1.0,
4E5C40,1.0,
6F6B41,1.0,
7B7350,1.0,
634E41,1.0,
714C45,1.0,
4B6580,1.0,1.0
4F5A27,1.0,1.0
646148,1.0,
4F627C,1.0,
5E493B,1.0,
847D47,1.0,
5C4F40,1.0,
4B6080,1.0,1.0
505838,1.0,1.0
7F744C,1.0,
4F5B3C,1.0,2.0
1B3661,1.0,
7A6951,1.0,
5F4D40,1.0,
5A4F45,1.0,
77483E,1.0,
595134,1.0,1.0
4D5C3C,1.0,1.0
546177,1.0,1.0
614838,1.0,1.0
5B5037,1.0,1.0
505B3B,1.0,
7F694C,1.0,1.0
895C42,1.0,
5F4028,1.0,
683630,1.0,
486483,1.0,1.0
596572,1.0,
746757,1.0,
837048,1.0,1.0
5D676E,1.0,
736C3E,1.0,
4C5A35,1.0,
386093,1.0,
2E3223,1.0,
7A6851,1.0,1.0
3C4128,1.0,
266DA5,1.0,
4F5C2A,1.0,1.0
343C1D,1.0,
826C49,1.0,
505B3F,1.0,
4E5945,1.0,
4F5C3F,1.0,
556376,1.0,
81674A,1.0,
515733,1.0,
303827,1.0,
584434,1.0,
5D4F35,1.0,
1F61AC,1.0,
4C5938,1.0,2.0
3E688D,1.0,
595041,1.0,
51637A,1.0,
6A6E3B,1.0,
495D41,1.0,
6F6642,1.0,
616C45,1.0,
674C38,1.0,
486283,1.0,
613E24,1.0,
6A6644,1.0,
434A63,1.0,
6E653C,1.0,
656E41,1.0,
6C6E41,1.0,
654935,1.0,
51582A,1.0,
4F5C2D,1.0,1.0
5D4F34,1.0,
696643,1.0,
60383B,1.0,
614C43,1.0,
5D4F3B,1.0,
5C4F3A,1.0,
333827,1.0,
515A34,1.0,
696F44,1.0,
6A6146,1.0,
676844,1.0,
4C6028,1.0,
6D7334,1.0,
644B47,1.0,
46677D,1.0,
515845,1.0,
6B3E37,1.0,
AB2022,1.0,
323726,1.0,
613C30,1.0,
4F5B35,1.0,2.0
4C667C,1.0,
71673E,1.0,
6B6E3E,1.0,
5D5040,1.0,
666840,1.0,
70703E,1.0,
6A7045,1.0,
664630,1.0,
1373B8,1.0,
37446B,1.0,
4F5E2D,1.0,
663529,1.0,
4F5C30,1.0,5.0
4E667D,1.0,1.0
3A3E23,1.0,
4D5B38,1.0,1.0
586673,1.0,
686740,1.0,
4E5C2A,1.0,
495D2D,1.0,
76453A,1.0,
614C40,1.0,
594E3F,1.0,
4A6881,1.0,
4F5B2A,1.0,3.0
59503B,1.0,
6A4138,1.0,
4E5B20,1.0,
887543,1.0,
835D48,1.0,
614C41,1.0,
A62534,1.0,
604B37,1.0,
30341C,1.0,
7F6F4C,1.0,
80624B,1.0,
505C30,,6.0
505B32,,5.0
4F5B38,,4.0
5C4F3C,,3.0
4F5D2D,,3.0
4F5A34,,3.0
505B3C,,3.0
4C5D2D,,3.0
505C2A,,2.0
4E5B32,,2.0
383E23,,2.0
505C34,,2.0
4D5C31,,2.0
4F657C,,2.0
5B503D,,2.0
51667A,,2.0
5B503F,,2.0
4E5B2C,,2.0
515920,,2.0
4C5C33,,2.0
4B6180,,2.0
4E5E30,,2.0
4D5D3C,,2.0
4D5A35,,2.0
505C33,,2.0
4E5B3C,,2.0
4C5E2D,,2.0
515937,,2.0
4F5C36,,2.0
455A86,,2.0
4E5C2F,,2.0
4E5C2D,,2.0
4D5C40,,2.0
826F49,,2.0
4E5B33,,2.0
4F5C34,,2.0
4D5C3A,,2.0
456486,,2.0
4C5D33,,2.0
363B2C,,2.0
4D5938,,2.0
505B37,,2.0
515929,,2.0
595042,,2.0
4F5D2F,,2.0
4E5B2F,,2.0
5B5124,,2.0
5C4E3F,,2.0
495D34,,2.0
505D2A,,2.0
4E5D2F,,2.0
4F5B3A,,2.0
4E5C24,,2.0
515941,,2.0
4D5E30,,2.0
4F5B2B,,2.0
495C30,,2.0
383D23,,1.0
614138,,1.0
4F5B3E,,1.0
4F5E2C,,1.0
957936,,1.0
24385D,,1.0
5F493F,,1.0
4B6969,,1.0
938938,,1.0
A58326,,1.0
416185,,1.0
694137,,1.0
5C4F34,,1.0
1A5EB1,,1.0
354462,,1.0
364B5F,,1.0
486183,,1.0
3B402F,,1.0
4E5840,,1.0
133058,,1.0
595044,,1.0
496B65,,1.0
618149,,1.0
62493C,,1.0
596472,,1.0
59342E,,1.0
5D503F,,1.0
5D4F2B,,1.0
7E664D,,1.0
3A3D2C,,1.0
59513F,,1.0
475B2F,,1.0
A1332A,,1.0
6E6947,,1.0
505921,,1.0
6E7141,,1.0
4F5B37,,1.0
3A3C28,,1.0
727346,,1.0
313A25,,1.0
324564,,1.0
5D4127,,1.0
684038,,1.0
736958,,1.0
716D43,,1.0
4F5C28,,1.0
697540,,1.0
6B6146,,1.0
4F5D2A,,1.0
4C5C30,,1.0
747344,,1.0
4E5B2B,,1.0
4C593C,,1.0
736F3B,,1.0
A0342B,,1.0
373E21,,1.0
4D5933,,1.0
5C503A,,1.0
614836,,1.0
B38718,,1.0
626349,,1.0
2C3758,,1.0
595149,,1.0
434537,,1.0
4C593A,,1.0
283E66,,1.0
4D5C2F,,1.0
67693C,,1.0
4D5D33,,1.0
76743F,,1.0
535834,,1.0
374761,,1.0
4F6032,,1.0
5C4F3F,,1.0
5D7F4C,,1.0
6F6C46,,1.0
314A61,,1.0
3B5590,,1.0
706F3C,,1.0
2C3859,,1.0
4F5C26,,1.0
6C7043,,1.0
3C411F,,1.0
4D5E2D,,1.0
535718,,1.0
71663E,,1.0
4F5E28,,1.0
495F3C,,1.0
634946,,1.0
2E3D65,,1.0
656A45,,1.0
786F3B,,1.0
5F5E4B,,1.0
505834,,1.0
7F604C,,1.0
1E386D,,1.0
707541,,1.0
6E6C3E,,1.0
6F7047,,1.0
6F6F46,,1.0
4C5B36,,1.0
5F6444,,1.0
1D3C6C,,1.0
3A4120,,1.0
A1832A,,1.0
614137,,1.0
7D5E4E,,1.0
676B3F,,1.0
505B2A,,1.0
636141,,1.0
613B2F,,1.0
265AA5,,1.0
30486D,,1.0
4F593B,,1.0
6C693F,,1.0
506779,,1.0
4A5F81,,1.0
3C4760,,1.0
B27E19,,1.0
666D44,,1.0
313A1E,,1.0
373C1B,,1.0
666549,,1.0
757641,,1.0
304059,,1.0
3A411F,,1.0
505833,,1.0
7E694D,,1.0
963835,,1.0
575348,,1.0
4F5833,,1.0
4B5936,,1.0
7C7C3F,,1.0
4F5D23,,1.0
6E3430,,1.0
4A5C30,,1.0
525930,,1.0
4E677D,,1.0
4E607D,,1.0
58512B,,1.0
4C6180,,1.0
4A6581,,1.0
604E42,,1.0
616545,,1.0
505D2C,,1.0
28426E,,1.0
5D4F39,,1.0
606149,,1.0
6D6F3C,,1.0
6F7141,,1.0
4F5D7C,,1.0
495B35,,1.0
703C34,,1.0
5F4D3C,,1.0
62443B,,1.0
7B6A50,,1.0
485F30,,1.0
486783,,1.0
383B25,,1.0
4F667C,,1.0
515B33,,1.0
4E5B30,,1.0
6F643C,,1.0
4E5C26,,1.0
394964,,1.0
71665A,,1.0
393C20,,1.0
794141,,1.0
584E45,,1.0
6D6D38,,1.0
323720,,1.0
314467,,1.0
4E617D,,1.0
4B5F38,,1.0
8A7041,,1.0
797941,,1.0
686549,,1.0
50637B,,1.0
6D6C35,,1.0
4F5924,,1.0
7C5E4F,,1.0
6F3F2C,,1.0
344459,,1.0
596272,,1.0
B77C14,,1.0
3B5490,,1.0
3C4320,,1.0
4B6038,,1.0
79733E,,1.0
515943,,1.0
4E5E38,,1.0
3A3E29,,1.0
5B4946,,1.0
5B6470,,1.0
693E39,,1.0
6E6E43,,1.0
5F4F38,,1.0
352F1E,,1.0
B0841B,,1.0
5D7A51,,1.0
4F5A43,,1.0
857046,,1.0
5C4538,,1.0
4D5E36,,1.0
466485,,1.0
5C513B,,1.0
69332F,,1.0
384C61,,1.0
51677A,,1.0
104CBB,,1.0
495E32,,1.0
5E4328,,1.0
65493B,,1.0
4F5E31,,1.0
666E45,,1.0
654E34,,1.0
B27919,,1.0
51591B,,1.0
233C64,,1.0
617952,,1.0
4C607F,,1.0
476184,,1.0
515B32,,1.0
6F3C36,,1.0
6D6D43,,1.0
5D3B33,,1.0
807439,,1.0
333927,,1.0
516270,,1.0
6B4B41,,1.0
6F6D3E,,1.0
60392D,,1.0
4E5F2B,,1.0
5B5035,,1.0
436488,,1.0
656745,,1.0
634B3E,,1.0
6E6B3E,,1.0
575045,,1.0
686F46,,1.0
343A22,,1.0
51657A,,1.0
323620,,1.0
1C57AF,,1.0
8D783E,,1.0
7E7339,,1.0
643B2C,,1.0
4E5936,,1.0
323123,,1.0
486124,,1.0
646C41,,1.0
4D5D2C,,1.0
B78314,,1.0
3C3E30,,1.0
515827,,1.0
616744,,1.0
68693C,,1.0
1A3871,,1.0
3A4023,,1.0
743434,,1.0
797552,,1.0
6A6944,,1.0
4C5C31,,1.0
496482,,1.0
6E493F,,1.0
3D548E,,1.0
3F578C,,1.0
757042,,1.0
59503C,,1.0
666545,,1.0
3B4324,,1.0
566875,,1.0
4D657E,,1.0
283F65,,1.0
656645,,1.0
6C6D3D,,1.0
304363,,1.0
34382B,,1.0
6F3430,,1.0
646E47,,1.0
3B4128,,1.0
9D712E,,1.0
4D617E,,1.0
656945,,1.0
4C5E38,,1.0
61663F,,1.0
595040,,1.0
604533,,1.0
595129,,1.0
4C5D2C,,1.0
343E26,,1.0
5F6737,,1.0
937338,,1.0
214960,,1.0
323523,,1.0
5D4C45,,1.0
556776,,1.0
505D36,,1.0
505942,,1.0
313526,,1.0
6C2F2D,,1.0
38382C,,1.0
476084,,1.0
7C7141,,1.0
37382B,,1.0
3B4126,,1.0
4B5E2D,,1.0
6E7344,,1.0
495F30,,1.0
4A6637,,1.0
2B3E58,,1.0
505840,,1.0
60463C,,1.0
618348,,1.0
5E4C40,,1.0
495C65,,1.0
343B23,,1.0
666941,,1.0
3B4427,,1.0
485934,,1.0
8D6E3E,,1.0
4D5B32,,1.0
464E65,,1.0
343827,,1.0
515B2C,,1.0
4D5B33,,1.0
496130,,1.0
4F5B28,,1.0
75713C,,1.0
30381F,,1.0
4D6131,,1.0
4C5C3C,,1.0
505E37,,1.0
3C6072,,1.0
496024,,1.0
4B5D36,,1.0
4C5B32,,1.0
595136,,1.0
51563C,,1.0
5C5036,,1.0
383C20,,1.0
44755E,,1.0
736F41,,1.0
4B5B61,,1.0
4B5C31,,1.0
363E27,,1.0
707853,,1.0
4D637E,,1.0
4E592E,,1.0
15457C,,1.0
4F5E30,,1.0
4E5E3B,,1.0
5D463C,,1.0
636F49,,1.0
535745,,1.0
4D5F7E,,1.0
8D6A3E,,1.0
6B673A,,1.0
4D5930,,1.0
445D87,,1.0
4F5942,,1.0
594E44,,1.0
686843,,1.0
6F6E38,,1.0
656743,,1.0
435F88,,1.0
495936,,1.0
5F4B33,,1.0
80714B,,1.0
9D612E,,1.0
505C24,,1.0
6E7940,,1.0
4E5E34,,1.0
262D22,,1.0
5E4F3D,,1.0
4D5D2D,,1.0
672C2A,,1.0
4F612F,,1.0
71685A,,1.0
6C7B50,,1.0
374C5E,,1.0
505B2B,,1.0
4B6280,,1.0
52582B,,1.0
515A35,,1.0
4A5A2E,,1.0
475934,,1.0
5E3E3E,,1.0
2F435D,,1.0
676741,,1.0
41402C,,1.0
7E4C41,,1.0
7D7642,,1.0
284867,,1.0
475F84,,1.0
343E20,,1.0
59503E,,1.0
3F495C,,1.0
AC781F,,1.0
2F3722,,1.0
636546,,1.0
4F5D36,,1.0
627B50,,1.0
363627,,1.0
A77524,,1.0
446687,,1.0
